exchangedate,cc,enname,rate,units
19.12.2021,EUR,Euro,30.8435,1
20.01.2021,EUR,Euro,34.1555,1
20.02.2021,EUR,Euro,33.6478,1
20.03.2021,EUR,Euro,32.9785,1
20.04.2021,EUR,Euro,33.7099,1
20.05.2021,EUR,Euro,33.488,1
20.06.2021,EUR,Euro,32.4424,1
20.07.2021,EUR,Euro,32.0313,1
20.08.2021,EUR,Euro,31.169,1
20.09.2021,EUR,Euro,31.4626,1
20.10.2021,EUR,Euro,30.6056,1
20.11.2021,EUR,Euro,29.9688,1
20.12.2021,EUR,Euro,30.8573,1
21.01.2021,EUR,Euro,34.1488,1
21.02.2021,EUR,Euro,33.6478,1
21.03.2021,EUR,Euro,32.9785,1
21.04.2021,EUR,Euro,33.7362,1
21.05.2021,EUR,Euro,33.5174,1
21.06.2021,EUR,Euro,32.4424,1
21.07.2021,EUR,Euro,32.0344,1
21.08.2021,EUR,Euro,31.169,1
21.09.2021,EUR,Euro,31.2701,1
21.10.2021,EUR,Euro,30.4836,1
21.11.2021,EUR,Euro,29.9688,1
21.12.2021,EUR,Euro,30.7661,1
22.01.2021,EUR,Euro,34.3651,1
22.02.2021,EUR,Euro,33.7768,1
22.03.2021,EUR,Euro,32.9502,1
22.04.2021,EUR,Euro,33.6986,1
22.05.2021,EUR,Euro,33.5174,1
22.06.2021,EUR,Euro,32.2882,1
22.07.2021,EUR,Euro,32.0607,1
22.08.2021,EUR,Euro,31.169,1
22.09.2021,EUR,Euro,31.3566,1
22.10.2021,EUR,Euro,30.4934,1
22.11.2021,EUR,Euro,29.9796,1
22.12.2021,EUR,Euro,30.7859,1
23.01.2021,EUR,Euro,34.3651,1
23.02.2021,EUR,Euro,33.8866,1
23.03.2021,EUR,Euro,33.0072,1
23.04.2021,EUR,Euro,33.8103,1
23.05.2021,EUR,Euro,33.5174,1
23.06.2021,EUR,Euro,32.467,1
23.07.2021,EUR,Euro,32.0343,1
23.08.2021,EUR,Euro,31.169,1
23.09.2021,EUR,Euro,31.2856,1
23.10.2021,EUR,Euro,30.5774,1
23.11.2021,EUR,Euro,30.0591,1
23.12.2021,EUR,Euro,30.8084,1
24.01.2021,EUR,Euro,34.3651,1
24.02.2021,EUR,Euro,33.883,1
24.03.2021,EUR,Euro,32.9329,1
24.04.2021,EUR,Euro,33.8103,1
24.05.2021,EUR,Euro,33.4799,1
24.06.2021,EUR,Euro,32.6003,1
24.07.2021,EUR,Euro,32.0343,1
24.08.2021,EUR,Euro,31.169,1
24.09.2021,EUR,Euro,31.0846,1
24.10.2021,EUR,Euro,30.5774,1
24.11.2021,EUR,Euro,30.2354,1
24.12.2021,EUR,Euro,30.845,1
25.01.2021,EUR,Euro,34.2526,1
25.02.2021,EUR,Euro,33.9289,1
25.03.2021,EUR,Euro,32.9389,1
25.04.2021,EUR,Euro,33.8103,1
25.05.2021,EUR,Euro,33.4911,1
25.06.2021,EUR,Euro,32.7928,1
25.07.2021,EUR,Euro,32.0343,1
25.08.2021,EUR,Euro,31.1287,1
25.09.2021,EUR,Euro,31.0846,1
25.10.2021,EUR,Euro,30.5774,1
25.11.2021,EUR,Euro,30.1734,1
25.12.2021,EUR,Euro,30.845,1
26.01.2021,EUR,Euro,34.2265,1
26.02.2021,EUR,Euro,34.1459,1
26.03.2021,EUR,Euro,33.0337,1
26.04.2021,EUR,Euro,33.6714,1
26.05.2021,EUR,Euro,33.6643,1
26.06.2021,EUR,Euro,32.7928,1
26.07.2021,EUR,Euro,31.845,1
26.08.2021,EUR,Euro,31.3438,1
26.09.2021,EUR,Euro,31.0846,1
26.10.2021,EUR,Euro,30.5749,1
26.11.2021,EUR,Euro,30.3376,1
26.12.2021,EUR,Euro,30.845,1
27.01.2021,EUR,Euro,34.1897,1
27.02.2021,EUR,Euro,34.1459,1
27.03.2021,EUR,Euro,33.0337,1
27.04.2021,EUR,Euro,33.6512,1
27.05.2021,EUR,Euro,33.6765,1
27.06.2021,EUR,Euro,32.7928,1
27.07.2021,EUR,Euro,31.8087,1
27.08.2021,EUR,Euro,31.5121,1
27.09.2021,EUR,Euro,31.2153,1
27.10.2021,EUR,Euro,30.6791,1
27.11.2021,EUR,Euro,30.3376,1
27.12.2021,EUR,Euro,30.845,1
28.01.2021,EUR,Euro,34.1207,1
28.02.2021,EUR,Euro,34.1459,1
28.03.2021,EUR,Euro,33.0337,1
28.04.2021,EUR,Euro,33.5577,1
28.05.2021,EUR,Euro,33.5693,1
28.06.2021,EUR,Euro,32.7928,1
28.07.2021,EUR,Euro,31.7814,1
28.08.2021,EUR,Euro,31.6645,1
28.09.2021,EUR,Euro,31.1764,1
28.10.2021,EUR,Euro,30.6447,1
28.11.2021,EUR,Euro,30.3376,1
28.12.2021,EUR,Euro,30.8196,1
29.01.2021,EUR,Euro,34.1035,1
29.03.2021,EUR,Euro,32.9532,1
29.04.2021,EUR,Euro,33.526,1
29.05.2021,EUR,Euro,33.5693,1
29.06.2021,EUR,Euro,32.7401,1
29.07.2021,EUR,Euro,31.7021,1
29.08.2021,EUR,Euro,31.6645,1
29.09.2021,EUR,Euro,31.0335,1
29.10.2021,EUR,Euro,30.5032,1
29.11.2021,EUR,Euro,30.5752,1
29.12.2021,EUR,Euro,30.8401,1
30.01.2021,EUR,Euro,34.1035,1
30.03.2021,EUR,Euro,32.9661,1
30.04.2021,EUR,Euro,33.6427,1
30.05.2021,EUR,Euro,33.5693,1
30.06.2021,EUR,Euro,32.3018,1
30.07.2021,EUR,Euro,31.9239,1
30.08.2021,EUR,Euro,31.6645,1
30.09.2021,EUR,Euro,30.981,1
30.10.2021,EUR,Euro,30.5032,1
30.11.2021,EUR,Euro,30.6481,1
30.12.2021,EUR,Euro,30.776,1
31.01.2021,EUR,Euro,34.1035,1
31.03.2021,EUR,Euro,32.7233,1
31.05.2021,EUR,Euro,33.3896,1
31.07.2021,EUR,Euro,31.9239,1
31.08.2021,EUR,Euro,31.6963,1
31.10.2021,EUR,Euro,30.5032,1
31.12.2021,EUR,Euro,30.9226,1
